date,price,open,high,low,vol,change_pct
2015-01-04,8942.65,8926.26,8942.65,8880.21,62.86,0.18
2015-01-05,9011.07,8941.72,9033.07,8931.8,86.76,0.77
2015-01-06,8798.94,8971.93,8971.93,8754.87,105.19,-2.35
2015-01-08,8946.34,8819.61,8954.29,8819.61,82.04,1.68
2015-01-11,8909.75,8945.69,8957.59,8909.75,45.71,-0.41
2015-01-12,9109.23,8910.39,9109.23,8895.69,108.25,2.24
2015-01-13,9308.98,9130.97,9309.23,9118.16,138.75,2.19
2015-01-14,9544.08,9339.58,9547.39,9339.58,142.98,2.53
2015-01-15,9555.99,9541.43,9623.86,9511.06,134.82,0.12
2015-01-18,9530.92,9555.99,9573.67,9530.92,61.4,-0.26
2015-01-19,9599.1,9531.57,9599.36,9457.91,85.98,0.72
2015-01-20,9804.18,9607.29,9825.5,9607.29,166.11,2.14
2015-01-21,9856.3,9808.18,9856.3,9771.44,181.35,0.53
2015-01-22,9898.86,9897.87,9975.88,9897.87,145.11,0.43
2015-01-26,9834.81,9899.5,9899.5,9786.48,81.03,-0.65
2015-01-27,9946.58,9835.49,9978.09,9835.49,115.2,1.14
2015-01-28,9863.73,9947.12,9947.17,9863.73,92.37,-0.83
2015-01-29,9843.1,9864.69,9871.41,9832.01,92.37,-0.21
2015-02-01,9779.76,9869.54,9869.54,9779.76,85.89,-0.64
2015-02-02,9830.46,9780.11,9860.32,9779.91,81.41,0.52
2015-02-03,9954.34,9835.43,9961.67,9835.43,152.66,1.26
2015-02-04,10045.93,9960.63,10066.11,9957.28,108.85,0.92
2015-02-05,9965.43,10046.28,10046.28,9945.59,96.19,-0.8
2015-02-08,9957.93,9965.08,10041.67,9957.57,75.48,-0.08
2015-02-09,9884.46,9956.03,9956.03,9883.69,93.9,-0.74
2015-02-10,9900.65,9894.7,9954.6,9894.7,135.4,0.16
2015-02-11,9770.78,9900.65,9916.95,9770.78,111.28,-1.31
2015-02-12,9747.36,9769.73,9769.73,9656.45,89.24,-0.24
