date,price,open,high,low,vol,change_pct
2020-04-12,8.5,8.45,8.5,8.45,0.05584000000000001,0.0
2020-04-13,8.5,8.5,8.5,8.5,0.0006,0.0
2020-04-16,8.79,8.5,9.0,8.5,0.01,3.41
2020-04-21,9.0,9.0,9.0,9.0,0.004370000000000001,2.39
2020-04-27,9.0,9.55,9.55,9.55,0.0001,0.0
2020-04-29,9.0,9.8,9.9,9.8,0.0025099999999999996,0.0
2020-05-31,9.9,9.9,9.9,9.9,0.0067800000000000004,10.0
2020-06-30,10.56,9.9,10.89,9.9,0.015,6.67
2020-07-05,10.56,10.9,10.9,10.9,0.0021000000000000003,0.0
2020-07-06,11.0,11.0,11.0,11.0,0.005,4.17
2020-08-04,11.75,11.75,11.75,11.75,0.36828,6.82
2020-08-19,12.9,12.9,12.91,12.9,0.0031000000000000003,9.79
2020-08-23,13.61,12.92,14.19,12.5,0.01693,5.5
2020-08-24,13.61,13.0,13.0,12.25,0.00165,0.0
2020-09-15,13.61,12.25,12.25,12.25,2e-05,0.0
2020-10-11,13.61,12.93,12.93,12.93,7.000000000000001e-05,0.0
2020-11-08,13.61,12.25,12.25,12.25,8e-05,0.0
2020-11-26,13.61,12.25,12.25,12.25,0.001,0.0
2020-12-08,13.61,12.25,12.25,12.25,0.007,0.0
2020-12-09,13.61,12.25,12.25,12.25,0.0075,0.0
2020-12-10,13.61,12.25,12.25,12.25,0.003,0.0
2020-12-13,13.61,12.25,12.25,12.25,5e-05,0.0
2020-12-14,12.25,12.25,12.25,12.25,0.0106,-9.99
2021-02-08,12.25,12.25,12.25,12.25,0.0005,0.0
2021-02-10,12.25,12.15,12.15,12.15,0.00012,0.0
2021-02-18,12.25,11.88,11.88,11.88,1e-05,0.0
2021-03-22,12.25,11.03,12.0,11.03,0.001,0.0
2021-04-11,12.25,11.03,11.03,11.03,0.00199,0.0
2021-05-11,12.25,11.03,11.03,11.03,2e-05,0.0
2021-06-09,12.25,11.03,11.03,11.03,1e-05,0.0
2021-06-10,12.25,11.03,11.03,11.03,0.00047,0.0
2021-06-16,12.25,11.03,11.03,11.03,0.0001,0.0
2021-07-27,12.25,11.03,11.03,11.03,0.0,0.0
2021-08-10,12.25,11.03,11.99,11.03,1e-05,0.0
2021-08-22,12.25,11.03,11.03,11.03,0.0005,0.0
2021-09-14,12.25,9.8,9.8,9.8,0.00114,0.0
2021-09-15,12.25,9.9,11.0,9.8,0.00035,0.0
2021-09-26,12.25,10.97,10.97,10.97,0.00011,0.0
2021-11-17,12.25,10.49,10.49,10.49,0.00017999999999999998,0.0
2021-11-23,12.25,10.9,10.9,10.9,0.0001,0.0
2021-12-02,12.25,11.9,11.9,11.9,0.0003,0.0
2021-12-07,12.25,11.2,11.2,11.2,2e-05,0.0
2022-02-20,12.25,11.5,11.5,11.5,3e-05,0.0
2022-02-21,12.25,11.5,11.5,11.5,1e-05,0.0
2022-02-22,12.25,10.0,10.0,10.0,0.00029,0.0
2022-06-29,12.25,10.04,10.5,10.04,0.00026000000000000003,0.0
2022-07-26,12.25,10.5,10.5,10.5,0.00017,0.0
2022-09-22,12.25,10.5,10.5,10.5,1e-05,0.0
2022-09-26,12.25,10.51,11.0,10.5,2e-05,0.0
2022-09-27,12.25,11.0,11.0,11.0,7.000000000000001e-05,0.0
2022-10-30,12.25,10.0,10.0,10.0,0.00015,0.0
2022-11-13,12.25,10.2,10.2,10.2,0.0,0.0
2022-11-22,12.25,10.0,10.0,10.0,0.001,0.0
2022-11-24,12.25,10.0,10.0,10.0,1e-05,0.0
2022-12-05,12.25,10.0,10.0,10.0,1e-05,0.0
2022-12-08,12.25,11.97,11.97,11.97,5e-05,0.0
2022-12-14,12.25,10.0,11.97,10.0,0.001,0.0
2022-12-19,12.25,11.67,11.67,11.67,0.0,0.0
2022-12-22,12.25,10.94,10.94,10.94,0.00017,0.0
2022-12-27,12.25,10.0,10.0,10.0,8e-05,0.0
2022-12-28,12.25,10.0,10.0,10.0,8e-05,0.0
2023-01-05,12.25,10.0,10.0,10.0,0.00016,0.0
2023-01-09,12.25,10.0,11.49,10.0,0.00099,0.0
2023-01-18,12.25,9.98,9.98,9.9,0.00042,0.0
2023-01-19,12.25,9.8,9.95,9.8,0.00015,0.0
2023-01-22,12.25,9.8,11.45,9.8,0.00061,0.0
2023-01-23,12.25,10.0,10.99,9.8,0.00055,0.0
2023-01-24,12.25,10.0,10.87,9.8,0.00047,0.0
2023-01-25,12.25,9.8,10.87,9.8,0.00029,0.0
2023-01-29,12.25,9.8,10.49,9.8,0.00023,0.0
2023-01-30,12.25,9.8,10.45,9.8,0.0008900000000000001,0.0
2023-01-31,12.25,10.4,10.4,9.8,0.00029,0.0
2023-02-01,12.25,10.39,10.4,10.35,0.00015,0.0
2023-02-02,12.25,10.4,10.4,10.4,0.0,0.0
2023-02-05,12.25,10.0,10.35,10.0,1e-05,0.0
2023-02-06,10.45,9.8,14.7,9.8,0.02852,-14.69
2023-02-07,10.45,11.0,12.54,10.0,0.019440000000000002,0.0
2023-02-08,10.45,11.0,12.54,10.45,0.0062699999999999995,0.0
2023-02-09,12.54,12.4,12.54,11.01,0.025670000000000002,20.0
2023-02-12,12.54,12.54,13.49,11.5,0.00031,0.0
2023-02-13,12.54,11.5,13.4,10.5,0.01036,0.0
2023-02-14,12.54,13.25,14.6,11.0,0.01783,0.0
2023-02-15,12.54,13.0,13.0,11.0,0.00166,0.0
2023-02-19,12.54,11.1,11.99,10.45,0.00257,0.0
2023-02-21,12.54,10.06,10.06,10.06,0.00022,0.0
2023-02-23,12.54,11.5,11.7,11.5,0.002,0.0
2023-02-26,12.54,10.1,11.59,10.04,0.004730000000000001,0.0
2023-02-27,12.54,10.3,11.4,10.3,8.999999999999999e-05,0.0
2023-02-28,12.54,10.3,12.21,10.3,0.00209,0.0
2023-03-01,12.54,10.5,11.85,10.1,0.00055,0.0
2023-03-02,12.54,10.35,11.88,10.35,0.00011,0.0
2023-03-05,12.54,11.3,11.95,10.39,0.00145,0.0
2023-03-06,12.54,10.5,10.5,10.5,0.0,0.0
2023-03-08,12.54,10.45,10.45,10.04,0.0030800000000000003,0.0
2023-03-09,12.54,10.05,10.05,10.05,0.0001,0.0
2023-03-12,12.54,11.6,11.6,11.6,1e-05,0.0
2023-03-13,12.54,10.04,10.04,10.04,0.0001,0.0
2023-03-19,12.54,10.31,10.31,10.31,0.0004,0.0
2023-04-05,12.54,10.31,10.31,10.31,0.0,0.0
2023-04-06,12.54,10.3,10.3,10.3,2e-05,0.0
2023-04-18,12.54,10.3,10.3,10.3,0.00015,0.0
2023-05-07,12.54,10.28,10.28,10.27,3e-05,0.0
2023-05-15,12.54,10.04,10.04,10.04,0.00217,0.0
2023-05-16,12.54,10.04,10.04,10.04,0.0001,0.0
2023-05-18,12.54,10.04,10.04,10.04,0.00037,0.0
2023-05-23,12.54,10.04,10.04,10.04,0.0,0.0
2023-05-24,12.54,10.04,10.04,10.04,1e-05,0.0
2023-06-01,12.54,10.04,10.04,10.04,1e-05,0.0
2023-06-07,12.54,10.04,10.04,10.04,0.00026000000000000003,0.0
2023-06-11,12.54,10.04,10.04,10.04,3e-05,0.0
2023-06-12,12.54,12.54,12.54,12.54,,0.0
2023-06-14,12.54,10.04,10.04,10.04,0.00196,0.0
2023-06-15,12.54,10.04,10.04,10.04,0.0,0.0
2023-06-22,12.54,10.04,10.04,10.04,5e-05,0.0
2023-06-25,12.54,10.04,10.04,10.04,0.0015500000000000002,0.0
2023-06-26,12.54,10.04,10.04,10.04,0.001,0.0
2023-07-05,12.54,10.04,10.04,10.04,1e-05,0.0
2023-07-10,12.54,10.04,10.04,10.04,6e-05,0.0
2023-07-13,12.54,10.04,10.04,10.04,1e-05,0.0
2023-07-18,12.54,10.04,10.04,10.04,1e-05,0.0
2023-07-26,12.54,10.04,10.04,10.04,0.00029,0.0
2023-08-16,12.54,10.04,10.04,10.04,4e-05,0.0
2023-08-17,12.54,10.04,10.04,10.04,0.0004,0.0
2023-09-10,12.54,10.04,10.04,10.04,1e-05,0.0
2023-09-26,12.54,10.04,10.04,10.04,1e-05,0.0
2023-09-27,12.54,10.04,10.04,10.04,0.0002,0.0
2023-10-10,12.54,10.04,10.04,10.04,0.00109,0.0
2023-10-19,12.54,10.04,10.04,10.04,0.0,0.0
2023-10-22,12.54,10.07,10.07,10.07,0.0001,0.0
2023-10-29,12.54,10.04,10.04,10.04,0.00025,0.0
2023-10-30,12.54,10.04,10.04,10.04,0.00045000000000000004,0.0
2023-11-15,12.54,10.04,10.04,10.04,1e-05,0.0
2023-11-22,12.54,10.04,10.04,10.04,0.011130000000000001,0.0
2023-11-23,12.54,10.04,10.04,10.04,0.00093,0.0
2023-11-26,12.54,10.04,10.04,10.04,0.0022,0.0
2023-11-27,12.54,10.04,10.04,10.04,5e-05,0.0
2023-12-03,12.54,10.04,10.04,10.04,0.001,0.0
2023-12-14,12.54,10.04,10.04,10.04,0.0012,0.0
2023-12-17,12.54,10.04,11.9,10.04,0.00994,0.0
2023-12-18,12.54,10.04,14.77,10.04,0.01507,0.0
2023-12-19,12.54,12.54,12.54,10.04,0.00093,0.0
2023-12-20,12.54,10.04,10.5,10.04,0.00015,0.0
2023-12-24,12.54,10.4,12.43,10.04,0.00062,0.0
2023-12-25,12.54,10.04,12.33,10.04,0.00142,0.0
2023-12-27,12.54,10.04,10.04,10.04,0.0011,0.0
2023-12-31,12.54,10.04,10.04,10.04,0.0027300000000000002,0.0
2024-01-03,12.54,11.69,11.69,11.68,0.0005,0.0
2024-01-04,12.54,10.04,11.68,10.04,0.00708,0.0
2024-01-08,12.54,10.4,11.54,10.04,0.00263,0.0
2024-01-09,12.54,10.06,11.44,10.06,4e-05,0.0
2024-01-10,12.54,10.13,11.0,10.13,0.00222,0.0
2024-01-11,12.54,10.51,11.15,10.25,0.00175,0.0
2024-01-14,12.54,10.3,11.11,10.25,0.00232,0.0
2024-01-15,12.54,10.6,11.74,10.6,0.00046,0.0
2024-01-16,12.54,10.33,11.49,10.33,0.0009000000000000001,0.0
2024-01-17,12.54,10.33,11.0,10.33,0.0012,0.0
2024-01-18,12.54,10.69,11.0,10.69,0.0018100000000000002,0.0
2024-01-21,12.54,11.0,12.54,10.66,0.00534,0.0
2024-01-22,14.74,10.77,15.04,10.77,0.13841,17.54
2024-01-23,15.89,13.0,17.46,12.81,0.052770000000000004,7.8
2024-01-24,15.89,14.7,15.89,13.14,0.00367,0.0
2024-01-28,15.89,13.51,14.99,13.5,0.01154,0.0
2024-01-29,15.89,13.5,14.5,13.5,0.00456,0.0
2024-01-30,15.89,13.5,15.89,13.5,0.00441,0.0
2024-01-31,15.89,15.19,15.19,12.82,0.00365,0.0
2024-02-01,15.89,15.89,14.0,12.82,0.00246,0.0
2024-02-04,15.89,15.89,15.89,13.0,0.22309,0.0
2024-02-05,15.89,15.89,15.5,13.03,0.00518,0.0
2024-02-06,15.89,15.89,15.0,13.25,0.0038799999999999998,0.0
2024-02-07,15.89,15.89,14.9,13.11,0.011550000000000001,0.0
2024-02-08,15.89,15.89,14.47,13.0,0.007730000000000001,0.0
2024-02-11,15.89,15.89,13.99,13.0,0.00575,0.0
2024-02-12,15.89,15.89,14.4,13.01,0.00314,0.0
2024-02-13,15.89,15.89,13.94,13.0,0.0182,0.0
2024-02-14,15.89,15.89,13.9,12.72,0.0032300000000000002,0.0
2024-02-15,13.38,15.89,13.85,12.8,0.03726,-15.8
2024-02-18,13.38,13.38,13.79,12.74,0.0027400000000000002,0.0
2024-02-19,13.38,13.38,13.68,12.82,0.00554,0.0
2024-02-20,13.38,13.38,13.64,12.82,0.00248,0.0
2024-02-21,13.38,13.38,13.5,12.86,0.00763,0.0
2024-02-22,13.38,13.38,13.4,11.0,0.00441,0.0
2024-02-25,13.38,13.38,13.2,12.18,0.00059,0.0
2024-02-26,13.38,13.38,13.3,12.02,0.00264,0.0
2024-02-27,13.38,13.38,13.13,12.1,0.0002,0.0
2024-02-28,13.38,13.38,12.99,12.12,0.0018700000000000001,0.0
2024-02-29,13.38,13.38,12.98,10.72,0.00109,0.0
2024-03-03,13.38,13.38,12.69,10.9,0.00013000000000000002,0.0
2024-03-04,13.38,13.38,12.5,11.17,0.00123,0.0
2024-03-05,13.38,13.38,12.75,11.1,0.0032,0.0
2024-03-06,13.38,13.38,12.75,11.28,0.00459,0.0
2024-03-07,13.38,13.38,12.69,10.78,0.0032500000000000003,0.0
2024-03-10,13.38,13.38,12.09,11.15,0.00211,0.0
2024-03-11,13.38,13.38,12.0,11.26,0.00091,0.0
2024-03-12,13.38,13.38,11.16,11.01,0.00192,0.0
2024-03-13,13.38,13.38,11.86,10.71,0.00652,0.0
2024-03-14,13.38,13.38,10.71,10.71,0.00643,0.0
2024-03-17,13.38,13.38,11.05,10.71,0.00395,0.0
2024-03-18,13.38,13.38,10.71,10.71,0.00044,0.0
2024-03-19,13.38,13.38,13.38,13.38,,0.0
2024-03-20,13.38,13.38,13.38,10.71,0.00183,0.0
2024-03-21,13.38,13.38,10.71,10.71,0.00057,0.0
2024-03-24,13.38,13.38,13.38,13.38,,0.0
2024-03-25,13.38,13.38,13.38,13.38,,0.0
2024-03-26,13.38,13.38,10.71,10.71,0.00085,0.0
2024-03-27,13.38,13.38,10.71,10.71,0.00519,0.0
2024-03-28,13.38,13.38,11.22,10.71,0.00028000000000000003,0.0
2024-03-31,13.38,13.38,10.71,10.71,0.00011,0.0
2024-04-01,13.38,13.38,13.0,10.71,0.01192,0.0
2024-04-02,13.38,13.38,11.5,10.71,0.01925,0.0
2024-04-03,13.38,13.38,10.71,10.71,0.00228,0.0
2024-04-04,13.38,13.38,10.71,10.71,0.00057,0.0
2024-04-07,13.38,13.38,10.71,10.71,0.0018100000000000002,0.0
2024-04-08,13.38,13.38,10.71,10.71,0.00079,0.0
2024-04-15,13.38,13.38,10.71,10.71,0.0018100000000000002,0.0
2024-04-16,13.38,13.38,10.71,10.71,0.0057,0.0
2024-04-17,13.38,13.38,11.6,10.71,0.014039999999999999,0.0
2024-04-18,13.38,13.38,10.8,10.71,0.0010400000000000001,0.0
2024-04-21,13.38,13.38,10.96,10.71,0.00264,0.0
2024-04-22,13.38,13.38,10.98,10.71,0.0029,0.0
2024-04-23,13.38,13.38,10.71,10.71,0.00177,0.0
2024-04-24,13.38,13.38,10.71,10.71,0.0002,0.0
2024-04-28,13.38,10.71,10.71,10.71,1e-05,0.0
2024-04-29,13.38,10.71,10.71,10.71,3e-05,0.0
2024-04-30,13.38,10.71,10.71,10.71,0.0001,0.0
2024-05-01,13.38,13.38,13.38,13.38,,0.0
2024-05-02,13.38,13.38,13.38,13.38,,0.0
2024-05-07,13.38,10.71,10.71,10.71,0.00032,0.0
2024-05-08,13.38,10.71,10.71,10.71,2e-05,0.0
2024-05-09,13.38,13.38,13.38,13.38,,0.0
2024-05-12,13.38,13.38,13.38,13.38,,0.0
2024-05-13,13.38,10.71,10.71,10.71,0.00216,0.0
2024-05-14,13.38,13.38,13.38,13.38,,0.0
2024-05-15,13.38,10.71,10.71,10.71,0.00031,0.0
2024-05-16,13.38,10.71,10.71,10.71,0.0001,0.0
2024-05-19,13.38,10.71,10.71,10.71,0.0010600000000000002,0.0
2024-05-20,13.38,10.71,10.71,10.71,0.00082,0.0
2024-05-21,13.38,13.38,13.38,13.38,,0.0
2024-05-22,13.38,10.71,10.71,10.71,0.00041,0.0
2024-05-23,13.38,10.71,10.71,10.71,0.0,0.0
2024-05-26,13.38,13.38,13.38,13.38,,0.0
2024-05-27,13.38,13.38,13.38,13.38,,0.0
2024-05-28,13.38,13.38,13.38,13.38,,0.0
2024-05-29,13.38,13.38,13.38,13.38,,0.0
2024-05-30,13.38,13.38,13.38,13.38,,0.0
2024-06-02,13.38,10.71,10.71,10.71,1e-05,0.0
2024-06-03,13.38,13.38,13.38,13.38,,0.0
2024-06-04,13.38,13.38,13.38,13.38,,0.0
2024-06-05,13.38,10.71,10.71,10.71,2e-05,0.0
2024-06-06,13.38,13.38,13.38,13.38,,0.0
2024-06-09,13.38,10.71,10.71,10.71,0.0,0.0
2024-06-10,13.38,10.71,10.71,10.71,0.0,0.0
2024-06-11,13.38,13.38,13.38,13.38,,0.0
2024-06-12,13.38,13.38,13.38,13.38,,0.0
2024-06-13,13.38,13.38,13.38,13.38,,0.0
2024-06-23,13.38,10.71,10.71,10.71,1e-05,0.0
2024-06-24,13.38,13.38,13.38,13.38,,0.0
2024-06-25,13.38,13.38,13.38,13.38,,0.0
2024-06-26,13.38,13.38,13.38,13.38,,0.0
2024-06-27,13.38,10.71,10.71,10.71,0.0004,0.0
2024-07-01,13.38,13.38,13.38,13.38,,0.0
2024-07-02,13.38,10.71,10.71,10.71,8e-05,0.0
2024-07-03,13.38,10.71,10.71,10.71,0.0027300000000000002,0.0
2024-07-04,13.38,13.38,13.38,13.38,,0.0
2024-07-07,13.38,13.38,13.38,13.38,,0.0
2024-07-08,13.38,13.38,13.38,13.38,,0.0
