date,price,open,high,low,vol,change_pct
2024-05-21,3638.2,3637.19,3649.74,3609.97,,0.0
2024-05-22,3584.23,3638.35,3645.13,3573.15,,-1.48
2024-05-23,3535.19,3583.54,3591.35,3526.32,,-1.37
2024-05-24,3538.4,3534.5,3557.73,3526.2,,0.09
2024-05-27,3567.25,3542.51,3580.28,3527.54,,0.82
2024-05-28,3611.87,3566.94,3614.85,3551.61,,1.25
2024-05-29,3564.46,3611.51,3614.37,3552.22,,-1.31
2024-05-30,3560.97,3562.76,3578.19,3530.37,,-0.1
2024-05-31,3536.76,3560.17,3584.19,3526.76,,-0.68
2024-06-03,3559.39,3529.06,3565.27,3519.18,,0.64
2024-06-04,3552.56,3559.92,3568.23,3529.39,,-0.19
2024-06-05,3604.2,3552.83,3607.7,3548.07,,1.45
2024-06-06,3630.67,3604.63,3634.71,3598.05,,0.73
2024-06-07,3506.13,3630.87,3646.95,3494.83,,-3.43
2024-06-10,3543.04,3525.88,3548.47,3499.0,,1.05
2024-06-11,3539.87,3542.81,3550.99,3524.06,,-0.09
2024-06-12,3558.59,3540.11,3590.83,3533.97,,0.53
2024-06-13,3531.81,3557.66,3567.77,3519.87,,-0.75
2024-06-14,3577.35,3531.68,3583.89,3530.6,,1.29
2024-06-17,3559.64,3571.31,3573.75,3544.35,,-0.5
2024-06-18,3571.65,3561.87,3578.15,3538.38,,0.34
2024-06-19,3573.4,3572.48,3581.44,3565.7,,0.05
2024-06-20,3621.01,3573.39,3627.85,3570.97,,1.33
2024-06-21,3561.4,3620.83,3633.32,3554.1,,-1.65
2024-06-24,3621.27,3558.38,3641.91,3557.33,,1.68
2024-06-25,3609.09,3621.09,3637.04,3599.55,,-0.34
2024-06-26,3550.8,3609.53,3633.03,3544.53,,-1.61
2024-06-27,3594.66,3550.85,3598.79,3546.76,,1.23
2024-06-28,3592.33,3594.66,3612.31,3581.7,,-0.06
2024-07-01,3621.7,3580.8,3627.33,3569.55,,0.82
2024-07-02,3608.42,3622.48,3624.94,3593.21,,-0.37
2024-07-03,3650.04,3609.4,3659.99,3603.45,,1.15
2024-07-04,3635.66,3650.69,3656.31,3628.09,,-0.39
2024-07-05,3690.33,3635.69,3691.41,3632.72,,1.5
2024-07-08,3639.97,3685.83,3694.65,3623.87,,-1.36
2024-07-09,3655.61,3639.59,3664.95,3633.89,,0.43
2024-07-10,3661.67,3655.56,3685.6,3652.64,,0.17
2024-07-11,3727.43,3661.3,3740.85,3659.88,,1.8
2024-07-12,3720.85,3727.84,3731.07,3691.47,,-0.18
2024-07-15,3734.16,3726.31,3756.96,3698.86,,0.36
2024-07-16,3812.67,3734.05,3814.73,3730.93,,2.1
2024-07-17,3814.22,3812.64,3848.28,3799.88,,0.04
2024-07-18,3787.76,3814.01,3842.2,3785.66,,-0.69
2024-07-19,3723.83,3784.38,3784.38,3715.32,,-1.69
2024-07-22,3729.11,3735.81,3752.67,3710.93,,0.14
2024-07-23,3745.06,3729.43,3749.45,3719.92,,0.43
2024-07-24,3727.87,3745.84,3780.83,3720.33,,-0.46
2024-07-25,3673.49,3727.71,3729.25,3657.82,,-1.46
2024-07-26,3709.83,3673.63,3715.08,3662.05,,0.99
2024-07-29,3699.38,3727.16,3729.44,3685.99,,-0.28
2024-07-30,3753.07,3700.15,3756.46,3693.27,,1.45
2024-07-31,3819.54,3752.95,3826.5,3744.25,,1.77
2024-08-01,3828.93,3818.64,3853.94,3804.04,,0.25
2024-08-02,3822.04,3828.76,3877.49,3775.6,,-0.18
2024-08-05,3808.03,3819.88,3879.73,3746.2,,-0.37
2024-08-06,3770.17,3808.19,3828.06,3768.94,,-0.99
2024-08-07,3775.96,3770.16,3812.05,3764.9,,0.15
2024-08-08,3839.3,3776.12,3844.26,3774.22,,1.68
2024-08-09,3849.47,3839.18,3857.99,3827.25,,0.26
2024-08-12,3924.88,3845.43,3925.32,3836.18,,1.96
2024-08-13,3911.49,3925.38,3927.82,3895.69,,-0.34
2024-08-14,3865.97,3912.0,3940.58,3849.69,,-1.16
