date,price,open,high,low,vol,change_pct
2015-01-04,3.249,3.313,3.313,3.21,1.59,-0.49
2015-01-05,3.257,3.234,3.297,3.21,3.57,0.25
2015-01-06,3.107,3.162,3.162,3.02,5.14,-4.61
2015-01-08,3.186,3.234,3.241,3.147,6.47,2.54
2015-01-11,3.226,3.202,3.265,3.178,4.5,1.26
2015-01-12,3.297,3.218,3.336,3.194,10.62,2.2
2015-01-13,3.336,3.297,3.384,3.249,8.77,1.18
2015-01-14,3.344,3.36,3.415,3.297,8.01,0.24
2015-01-15,3.384,3.344,3.439,3.313,13.86,1.2
2015-01-18,3.384,3.384,3.431,3.344,5.34,0.0
2015-01-19,3.423,3.352,3.494,3.352,12.79,1.15
2015-01-20,3.573,3.487,3.653,3.479,23.56,4.38
2015-01-21,3.573,3.558,3.629,3.534,11.76,0.0
2015-01-22,3.558,3.629,3.629,3.51,11.01,-0.42
2015-01-26,3.518,3.494,3.566,3.471,7.57,-1.12
2015-01-27,3.534,3.51,3.581,3.487,5.88,0.45
2015-01-28,3.518,3.526,3.558,3.471,6.79,-0.45
2015-01-29,3.487,3.518,3.518,3.463,1.69,-0.88
2015-02-01,3.447,3.494,3.526,3.4,5.04,-1.15
2015-02-02,3.447,3.447,3.494,3.415,9.59,0.0
2015-02-03,3.494,3.471,3.526,3.463,9.17,1.36
2015-02-04,3.494,3.518,3.526,3.455,4.43,0.0
2015-02-05,3.463,3.494,3.502,3.439,5.65,-0.89
2015-02-08,3.463,3.463,3.502,3.447,2.81,0.0
2015-02-09,3.431,3.455,3.487,3.4,8.05,-0.92
2015-02-10,3.4,3.455,3.463,3.36,4.48,-0.9
2015-02-11,3.336,3.392,3.4,3.273,3.58,-1.88
2015-02-12,3.32,3.313,3.352,3.265,3.93,-0.48
2015-02-15,3.344,3.344,3.368,3.328,1.82,0.72
2015-02-16,3.218,3.32,3.344,3.162,6.1,-3.77
2015-02-17,3.202,3.234,3.289,3.115,5.45,-0.5
2015-02-18,3.273,3.297,3.32,3.234,3.17,2.22
2015-02-19,3.186,3.257,3.289,3.123,6.73,-2.66
2015-02-22,3.202,3.257,3.257,3.154,2.79,0.5
2015-02-23,3.226,3.218,3.289,3.194,6.86,0.75
2015-02-24,3.234,3.226,3.273,3.21,3.53,0.25
2015-02-25,3.194,3.241,3.249,3.17,2.12,-1.24
2015-02-26,3.075,3.218,3.218,3.004,13.51,-3.73
2015-03-01,3.123,3.083,3.162,3.06,3.77,1.56
2015-03-02,3.194,3.162,3.241,3.147,7.81,2.27
2015-03-03,3.257,3.226,3.281,3.218,6.12,1.97
2015-03-04,3.265,3.257,3.281,3.234,3.17,0.25
2015-03-05,3.289,3.273,3.313,3.273,3.32,0.74
2015-03-08,3.313,3.313,3.352,3.281,2.72,0.73
2015-03-09,3.32,3.297,3.352,3.281,6.09,0.21
2015-03-10,3.305,3.352,3.384,3.202,8.43,-0.45
2015-03-11,3.218,3.265,3.273,3.186,6.97,-2.63
2015-03-12,3.234,3.234,3.281,3.178,5.44,0.5
2015-03-15,3.36,3.368,3.439,3.313,18.78,3.9
2015-03-16,3.305,3.344,3.344,3.257,7.8,-1.64
2015-03-17,3.313,3.281,3.368,3.257,6.61,0.24
2015-03-18,3.281,3.297,3.313,3.226,4.48,-0.97
2015-03-19,3.328,3.32,3.36,3.289,7.46,1.43
2015-03-22,3.249,3.313,3.313,3.194,6.25,-2.37
2015-03-23,3.281,3.241,3.32,3.226,6.42,0.98
2015-03-24,3.297,3.32,3.336,3.265,9.82,0.49
2015-03-25,3.234,3.273,3.297,3.194,12.58,-1.91
2015-03-26,3.202,3.178,3.241,3.139,7.39,-0.99
2015-03-29,3.194,3.265,3.273,3.162,4.71,-0.25
2015-03-30,3.202,3.178,3.226,3.162,6.84,0.25
2015-03-31,3.178,3.218,3.234,3.115,10.44,-0.75
2015-04-01,3.162,3.162,3.226,3.083,12.08,-0.5
2015-04-02,3.083,3.131,3.162,3.012,7.14,-2.5
2015-04-05,2.909,3.06,3.099,2.838,10.6,-5.64
2015-04-06,2.886,2.925,3.004,2.767,14.37,-0.79
2015-04-07,2.933,3.004,3.004,2.894,8.8,1.63
2015-04-08,2.917,2.87,2.973,2.783,6.05,-0.55
2015-04-09,2.925,2.925,2.941,2.901,5.29,0.27
2015-04-14,2.909,2.933,2.965,2.886,2.81,-0.55
2015-04-15,2.862,2.925,2.933,2.791,7.1,-1.62
2015-04-16,2.83,2.846,2.878,2.767,7.0,-1.12
2015-04-19,2.783,2.878,2.886,2.704,16.17,-1.66
2015-04-20,2.739,2.664,2.824,2.654,4.25,-1.58
2015-04-21,2.748,2.729,2.814,2.692,5.23,0.33
