date,price,open,high,low,vol,change_pct
2015-01-04,14.41,14.49,14.54,14.23,,0.07
2015-01-05,14.38,14.3,14.53,14.26,,-0.21
2015-01-06,13.92,14.03,14.1,13.8,,-3.2
2015-01-08,14.12,14.1,14.25,13.97,,1.44
2015-01-11,13.97,14.01,14.18,13.85,,-1.06
2015-01-12,14.36,13.88,14.55,13.8,1.58,2.79
2015-01-13,14.59,14.39,14.73,14.22,1.03,1.6
2015-01-14,14.63,14.59,14.76,14.42,1.5,0.27
2015-01-15,14.78,14.45,15.03,14.4,3.0,1.03
2015-01-18,15.03,14.76,15.23,14.67,2.07,1.69
2015-01-19,15.25,15.0,15.7,14.87,4.01,1.46
2015-01-20,15.62,15.51,15.85,15.33,3.57,2.43
2015-01-21,15.47,15.43,15.67,15.22,2.58,-0.96
2015-01-22,15.47,15.7,15.75,15.26,1.52,0.0
2015-01-26,15.45,15.24,15.65,15.24,1.86,-0.13
2015-01-27,15.73,15.41,15.94,15.41,2.59,1.81
2015-01-28,15.58,15.58,15.8,15.39,1.73,-0.95
2015-01-29,15.39,15.4,15.59,15.25,,-1.22
2015-02-01,15.26,15.34,15.4,15.1,,-0.84
2015-02-02,15.18,15.25,15.39,15.01,1.24,-0.52
2015-02-03,15.43,15.24,15.6,15.24,1.54,1.65
2015-02-04,15.6,15.42,15.76,15.36,1.79,1.1
2015-02-05,15.27,15.4,15.42,15.2,1.29,-2.12
2015-02-08,15.22,15.27,15.43,15.05,1.04,-0.33
2015-02-09,15.04,15.04,15.2,14.95,,-1.18
2015-02-10,14.86,15.1,15.2,14.61,1.42,-1.2
2015-02-11,14.52,14.88,14.88,14.22,1.32,-2.29
2015-02-12,14.48,14.31,14.62,14.26,,-0.28
2015-02-15,14.52,14.52,14.7,14.41,,0.28
2015-02-16,14.0,14.41,14.47,13.5,1.56,-3.58
2015-02-17,13.7,13.9,14.0,13.3,1.65,-2.14
2015-02-18,13.97,13.94,14.1,13.75,,1.97
2015-02-19,13.7,14.1,14.14,13.42,2.33,-1.93
2015-02-22,13.73,13.75,13.89,13.6,,0.22
2015-02-23,13.78,13.8,13.98,13.65,1.13,0.36
2015-02-24,13.77,13.78,13.85,13.63,,-0.07
2015-02-25,13.6,13.8,13.8,13.5,,-1.23
