date,price,open,high,low,vol,change_pct
2015-01-04,9.89,9.95,9.97,9.79,,0.3
2015-01-05,9.95,9.9,10.03,9.84,2.2,0.61
2015-01-06,9.71,9.81,9.82,9.52,1.07,-2.41
2015-01-08,9.9,9.9,10.0,9.85,1.44,1.96
2015-01-11,9.76,9.85,9.95,9.67,,-1.41
2015-01-12,10.09,9.71,10.3,9.7,3.85,3.38
2015-01-13,10.38,10.2,10.53,10.1,5.57,2.87
2015-01-14,10.47,10.4,10.59,10.25,2.96,0.87
2015-01-15,10.76,10.45,11.05,10.32,7.16,2.77
2015-01-18,10.83,10.65,10.97,10.65,1.43,0.65
2015-01-19,11.16,10.75,11.38,10.75,3.96,3.05
2015-01-20,11.63,11.15,11.93,11.15,6.28,4.21
2015-01-21,11.55,11.5,11.77,11.43,6.25,-0.69
2015-01-22,11.54,11.57,11.75,11.37,4.29,-0.09
2015-01-26,11.49,11.5,11.6,11.36,2.06,-0.43
2015-01-27,11.48,11.4,11.69,11.22,2.96,-0.09
2015-01-28,11.51,11.4,11.65,11.3,3.61,0.26
2015-01-29,11.49,11.37,11.59,11.35,3.55,-0.17
2015-02-01,11.51,11.59,11.6,11.4,4.03,0.17
2015-02-02,11.61,11.58,11.78,11.49,5.32,0.87
2015-02-03,11.96,11.75,12.1,11.75,6.86,3.01
2015-02-04,11.98,12.0,12.15,11.7,6.5,0.17
2015-02-05,11.7,11.84,11.93,11.6,5.5,-2.34
2015-02-08,11.58,11.71,11.91,11.39,2.97,-1.03
2015-02-09,11.35,11.41,11.53,11.28,3.87,-1.99
2015-02-10,11.49,11.42,11.6,11.35,3.14,1.23
2015-02-11,11.17,11.4,11.43,10.81,2.92,-2.79
2015-02-12,11.11,11.0,11.22,10.9,3.55,-0.54
2015-02-15,11.18,11.0,11.27,11.0,1.72,0.63
2015-02-16,10.98,11.05,11.21,10.82,2.26,-1.79
2015-02-17,10.71,10.99,11.12,10.35,3.93,-2.46
2015-02-18,11.02,10.94,11.2,10.87,4.51,2.89
2015-02-19,10.88,11.05,11.12,10.73,2.24,-1.27
2015-02-22,10.93,10.89,11.04,10.82,,0.46
2015-02-23,10.95,11.03,11.2,10.77,3.15,0.18
2015-02-24,10.93,10.9,11.06,10.8,1.45,-0.18
2015-02-25,10.76,10.82,10.94,10.65,1.04,-1.56
2015-02-26,10.63,10.84,10.86,10.44,4.22,-1.21
2015-03-01,10.71,10.64,10.8,10.44,1.58,0.75
2015-03-02,11.0,10.88,11.13,10.8,4.2,2.71
2015-03-03,11.1,11.04,11.19,10.98,2.73,0.91
2015-03-04,11.17,11.09,11.34,11.02,2.62,0.63
2015-03-05,11.42,11.35,11.49,11.27,2.3,2.24
2015-03-08,11.48,11.49,11.58,11.38,2.13,0.53
2015-03-09,11.57,11.4,11.63,11.4,3.45,0.78
2015-03-10,11.6,11.57,11.76,11.36,2.46,0.26
2015-03-11,11.33,11.5,11.5,11.16,2.86,-2.33
2015-03-12,11.32,11.31,11.47,11.14,1.95,-0.09
2015-03-15,11.38,11.5,11.54,11.28,2.38,0.53
2015-03-16,11.04,11.27,11.3,10.84,2.06,-2.99
2015-03-17,11.04,10.99,11.2,10.85,2.99,0.0
2015-03-18,10.84,11.0,11.0,10.75,1.51,-1.81
2015-03-19,10.92,10.97,10.98,10.77,3.84,0.74
2015-03-22,10.54,10.7,10.75,10.41,,-3.48
2015-03-23,10.72,10.56,10.91,10.5,1.54,1.71
2015-03-24,10.81,10.86,10.9,10.73,2.48,0.84
2015-03-25,10.55,10.73,10.75,10.3,1.95,-2.41
2015-03-26,10.2,10.28,10.28,10.0,2.54,-3.32
2015-03-29,10.24,10.35,10.44,10.08,,0.39
2015-03-30,10.34,10.22,10.49,10.15,1.52,0.98
2015-03-31,10.45,10.43,10.52,10.31,1.87,1.06
2015-04-01,10.25,10.3,10.4,10.12,,-1.91
2015-04-02,10.04,10.25,10.3,9.77,,-2.05
2015-04-05,9.63,10.04,10.04,9.48,1.39,-4.08
2015-04-06,9.56,9.75,9.94,9.2,1.98,-0.73
2015-04-07,9.88,9.67,10.05,9.67,1.16,3.35
2015-04-08,9.99,9.71,10.16,9.21,1.95,1.11
2015-04-09,10.16,10.07,10.24,9.93,,1.7
2015-04-14,10.04,10.16,10.23,9.87,2.64,-1.18
2015-04-15,9.89,10.0,10.09,9.8,1.9,-1.49
2015-04-16,9.94,9.9,10.03,9.82,2.73,0.51
2015-04-19,9.87,10.04,10.09,9.69,1.63,-0.7
2015-04-20,9.77,9.72,9.9,9.66,1.19,-1.01
2015-04-21,9.91,9.88,10.08,9.76,4.42,1.43
2015-04-22,10.0,10.0,10.17,9.8,2.19,0.91
2015-04-23,10.18,10.1,10.29,10.02,2.21,1.8
2015-04-26,9.94,10.06,10.1,9.84,,-2.36
2015-04-27,9.86,9.86,10.16,9.67,1.78,-0.8
2015-04-28,9.6,9.7,9.75,9.35,2.82,-2.64
2015-04-29,9.94,9.7,10.2,9.57,2.37,3.54
2015-04-30,10.06,10.15,10.19,9.91,3.04,1.21
2015-05-03,9.81,9.9,10.05,9.7,1.2,-2.49
2015-05-04,9.95,9.82,10.19,9.81,2.15,1.43
2015-05-05,10.25,10.15,10.35,10.15,2.86,3.02
2015-05-06,10.22,10.25,10.37,10.1,2.1,-0.29
2015-05-07,10.1,10.1,10.28,9.91,2.44,-1.17
2015-05-10,9.93,9.98,10.05,9.88,,-1.68
2015-05-11,9.95,9.96,10.17,9.78,1.92,0.2
2015-05-12,9.88,9.82,10.0,9.82,,-0.7
2015-05-13,9.64,10.0,10.0,9.41,2.49,-2.43
2015-05-14,9.08,9.5,9.59,8.8,4.07,-5.81
2015-05-17,8.88,9.0,9.18,8.5,1.59,-2.2
2015-05-18,9.7,8.9,9.76,8.9,2.08,9.23
2015-05-19,10.04,10.16,10.25,9.81,4.1,3.51
2015-05-20,9.93,9.91,10.05,9.84,3.39,-1.1
2015-05-21,10.16,10.0,10.3,10.0,2.92,2.32
2015-05-24,10.28,10.1,10.4,10.1,4.42,1.18
2015-05-25,10.12,10.28,10.3,9.96,3.1,-1.56
2015-05-26,10.12,10.05,10.26,9.98,1.59,0.0
2015-05-27,10.08,10.12,10.2,9.91,2.57,-0.4
2015-05-28,9.8,9.96,10.09,9.51,3.47,-2.78
2015-05-31,9.58,9.76,9.76,9.46,1.85,-2.24
2015-06-01,9.49,9.73,9.75,9.3,2.85,-0.94
2015-06-02,9.7,9.43,9.83,9.43,6.02,2.21
2015-06-03,9.85,9.71,9.95,9.71,3.62,1.55
2015-06-04,9.64,9.93,9.93,9.46,3.36,-2.13
2015-06-07,9.43,9.5,9.6,9.32,1.39,-2.18
2015-06-08,9.3,9.43,9.48,9.08,2.29,-1.38
2015-06-09,9.21,9.15,9.34,9.01,3.12,-0.97
2015-06-10,9.04,9.35,9.38,8.75,3.11,-1.85
2015-06-11,8.92,8.89,9.05,8.8,2.1,-1.33
2015-06-14,8.76,8.95,8.96,8.65,,-1.79
2015-06-15,8.63,8.8,8.8,8.55,3.04,-1.48
2015-06-16,8.78,8.69,8.89,8.62,2.61,1.74
2015-06-17,8.9,8.85,8.97,8.8,4.41,1.37
2015-06-18,9.11,8.99,9.22,8.9,4.56,2.36
2015-06-21,9.05,9.2,9.25,9.0,1.53,-0.66
2015-06-22,9.01,9.05,9.14,8.8,2.68,-0.44
2015-06-23,8.79,8.89,8.9,8.7,3.57,-2.44
2015-06-24,8.94,8.88,9.01,8.88,2.26,1.71
2015-06-25,9.02,8.9,9.3,8.75,2.8,0.89
2015-06-28,9.18,9.2,9.29,9.07,1.56,1.77
2015-06-29,8.94,9.09,9.1,8.8,2.86,-2.61
2015-07-02,8.78,8.85,8.88,8.71,8.96,-1.79
2015-07-05,8.62,8.9,8.95,8.23,1.24,-1.82
2015-07-06,8.15,8.5,8.5,7.86,1.27,-5.45
2015-07-07,7.89,8.2,8.2,7.75,1.41,-3.19
2015-07-08,7.78,7.98,7.98,7.62,1.69,-1.39
2015-07-09,7.89,7.75,8.08,7.74,2.2,1.41
2015-07-12,7.66,7.97,8.03,7.5,1.88,-2.92
2015-07-13,7.51,7.65,7.7,7.33,3.19,-1.96
2015-07-14,7.66,7.5,7.8,7.5,2.59,2.0
2015-07-15,7.84,7.8,7.97,7.68,2.05,2.35
2015-07-16,8.15,7.99,8.23,7.96,2.5,3.95
2015-07-21,8.2,8.2,8.3,8.12,2.9,0.61
2015-07-22,8.17,8.13,8.22,8.08,1.59,-0.37
2015-07-26,8.12,8.31,8.44,7.78,3.12,-0.61
2015-07-27,7.83,7.9,7.98,7.71,2.21,-3.57
2015-07-28,7.97,7.85,8.06,7.85,2.21,1.79
2015-07-29,8.09,8.1,8.16,8.0,1.89,1.51
2015-07-30,8.19,8.13,8.27,8.13,2.66,1.24
2015-08-02,8.36,8.25,8.55,8.22,3.08,2.08
2015-08-03,8.3,8.3,8.4,8.2,2.97,-0.72
2015-08-04,8.43,8.38,8.51,8.35,2.53,1.57
2015-08-05,8.43,8.46,8.56,8.37,3.07,0.0
2015-08-09,8.15,8.4,8.4,8.02,2.75,-3.32
2015-08-10,8.19,8.07,8.26,8.07,2.11,0.49
2015-08-11,8.29,8.29,8.35,8.23,3.03,1.22
2015-08-12,8.02,8.2,8.2,7.92,1.84,-3.26
2015-08-13,7.93,8.01,8.19,7.8,5.02,-1.12
2015-08-16,7.52,7.94,7.94,7.34,2.67,-5.17
2015-08-17,7.56,7.47,7.7,7.39,2.94,0.53
2015-08-18,7.33,7.51,7.51,7.12,3.67,-3.04
2015-08-19,7.24,7.26,7.49,7.0,2.85,-1.23
2015-08-20,7.22,7.3,7.32,7.09,2.1,-0.28
2015-08-23,6.84,7.0,7.0,6.7,4.19,-5.26
2015-08-24,6.68,6.81,6.97,6.5,3.96,-2.34
2015-08-25,6.9,6.7,7.07,6.7,1.74,3.29
2015-08-26,6.9,6.91,6.99,6.8,1.2,0.0
2015-08-27,7.15,7.11,7.24,7.07,2.03,3.62
2015-08-30,7.18,7.2,7.3,7.01,1.7,0.42
2015-08-31,7.39,7.06,7.63,7.06,5.45,2.92
2015-09-01,7.4,7.46,7.58,7.21,3.98,0.14
2015-09-02,7.25,7.23,7.34,7.16,4.6,-2.03
2015-09-03,7.4,7.37,7.5,7.27,5.58,2.07
2015-09-06,7.49,7.5,7.55,7.4,1.89,1.22
2015-09-07,7.44,7.6,7.7,7.02,8.17,-0.67
